,country,points,price,province,region_1,taster_name,variety,descLen,compound,year
2206,3,91,32.0,4,23,4,71,232,0.2732,2016.0
1755,3,87,16.0,4,4,4,5,217,0.0,2014.0
4413,3,93,80.0,4,70,3,15,330,0.872,2007.0
7466,1,88,50.0,19,27,3,25,263,0.2732,2006.0
170,1,89,32.0,3,94,1,18,277,0.7661,2012.0
7074,3,90,16.0,23,97,10,81,195,0.4633,2015.0
6794,3,86,16.0,4,645,12,2,204,-0.09,2016.0
7894,2,88,28.0,41,246,2,5,164,0.0,2016.0
8222,3,87,40.0,4,4,3,4,202,0.9413,2008.0
4860,2,87,10.0,6,9,2,8,173,0.6705,2011.0
7822,3,83,25.0,23,40,10,23,168,0.1779,2011.0
743,12,86,13.0,49,11,2,28,230,0.8807,2013.0
3065,1,91,48.0,1,1,1,182,280,0.5574,2012.0
1815,1,89,25.0,3,26,3,24,302,0.9136,2005.0
4178,2,86,12.0,74,479,8,10,286,0.8451,2007.0
6016,1,90,23.0,45,238,1,108,220,0.7506,2013.0
1002,12,90,25.0,49,11,2,28,177,0.875,2008.0
6114,5,90,40.0,9,279,8,15,330,0.6858,2012.0
1044,3,92,24.0,4,81,4,5,344,0.0,2014.0
415,3,87,16.0,4,4,3,23,170,0.8658,2009.0
1029,10,85,15.0,20,11,9,83,238,0.3182,2009.0
8164,3,86,8.0,4,58,3,15,203,0.9244,2006.0
7751,7,91,25.0,116,11,5,22,227,0.8934,2015.0
402,3,90,48.0,7,10,6,20,292,0.6486,2012.0
4631,17,92,32.0,80,11,17,15,304,0.5423,2012.0
5793,1,91,40.0,3,618,3,15,239,0.5267,2007.0
1063,3,90,55.0,23,119,10,4,351,0.9422,2012.0
8452,3,86,14.0,4,691,4,9,183,0.4654,2013.0
6403,3,87,69.0,4,28,3,15,250,0.8608,2010.0
6141,3,90,28.0,4,55,3,5,248,0.634,2012.0
8892,3,85,15.0,4,597,11,5,208,0.836,2014.0
6098,2,85,10.0,21,123,7,15,246,0.8689,2015.0
7215,3,94,55.0,4,168,3,4,278,0.9182,2011.0
1112,12,87,25.0,119,11,2,11,232,0.8922,2013.0
9699,1,87,25.0,3,3,3,3,218,0.8164,2007.0
4085,3,87,27.0,4,330,3,4,330,-0.359,2006.0
9002,12,88,10.0,49,11,2,86,263,0.4939,2016.0
3518,3,84,18.0,4,376,3,5,168,0.7498,2009.0
467,2,88,20.0,31,170,2,51,187,0.8074,2011.0
9150,12,86,14.0,57,11,2,28,175,0.9062,2007.0
6041,5,91,22.0,11,623,8,14,200,0.765,2013.0
8783,3,93,70.0,4,149,12,4,320,0.2617,2014.0
8049,2,86,20.0,6,234,2,20,224,0.296,2012.0
2398,3,92,55.0,4,420,12,183,290,-0.0644,2013.0
5399,3,86,59.0,4,118,3,4,234,0.0401,2008.0
5494,3,82,10.0,4,58,3,35,55,0.4588,2010.0
